"seed","score","P","V","B","k","t","m","q","k_ratio","connection_gap","connections_for_10pct","full_paths","full_len","full_len_ratio","matched_len","matched_len_ratio","free_segments","bonus_uses","bonus_util","missing_bonus_uses","rotation_ratio","delta_h_10"
"1","506","15","19","1","11","82","9","46","0.733333","4","2","2","34","0.596491","48","0.842105","9","2","0.666667","1","0.439024","2.3"
"2","885639","117","1141","2","107","8742","465","8277","0.91453","10","11","2","2694","0.787029","3339","0.97546","84","5","0.833333","1","0.053191","275.9"
"3","539500","93","721","3","83","7076","288","6500","0.892473","10","9","1","1618","0.748035","2071","0.957466","92","8","0.888889","1","0.081402","162.5"
"4","61350","33","91","10","30","2228","61","2045","0.909091","3","3","1","195","0.714286","258","0.945055","15","16","0.533333","14","0.082136","18.591"
"5","383999","99","817","2","77","5899","304","4987","0.777778","22","8","1","1748","0.713178","2300","0.938392","151","4","0.666667","2","0.154602","166.233"
"6","83893","51","217","3","43","2151","100","1951","0.843137","8","5","2","495","0.760369","629","0.966206","22","9","1","0","0.09298","48.775"
"7","55836","51","217","2","44","1626","119","1269","0.862745","7","5","3","501","0.769585","624","0.958525","27","6","1","0","0.219557","42.3"
"8","1037033","93","721","8","79","14602","295","13127","0.849462","14","8","1","1573","0.727231","1977","0.914008","186","13","0.541667","11","0.101014","145.856"
"9","207328","75","469","2","62","3559","215","3344","0.826667","13","7","2","1101","0.782516","1335","0.948827","72","6","1","0","0.06041","111.467"
"10","296352","93","721","1","84","3825","297","3528","0.903226","9","9","3","1748","0.808137","2077","0.96024","86","3","1","0","0.077647","176.4"
"11","815122","81","547","9","67","12648","241","12166","0.82716","14","7","1","1226","0.747105","1557","0.948812","84","12","0.444444","15","0.038109","121.66"
"12","239744","81","547","2","64","4022","276","3746","0.790123","17","7","2","1208","0.736137","1545","0.941499","96","6","1","0","0.068623","124.867"
"13","332358","87","631","2","78","4767","253","4261","0.896552","9","8","2","1483","0.783413","1799","0.950343","94","5","0.833333","1","0.106146","142.033"
"14","499086","69","397","10","51","10551","153","9786","0.73913","18","6","1","940","0.789253","1100","0.923594","91","18","0.6","12","0.072505","88.964"
"15","9702","33","91","2","21","677","43","462","0.636364","12","3","2","216","0.791209","244","0.893773","29","5","0.833333","1","0.317578","15.4"
"16","1777140","105","919","9","90","20224","478","19746","0.857143","15","9","1","1930","0.700036","2561","0.928908","196","16","0.592593","11","0.023635","197.46"
"17","427392","93","721","3","72","6842","302","5936","0.774194","21","8","2","1591","0.735552","2015","0.931577","148","7","0.777778","2","0.132417","148.4"
"18","100577","51","217","4","43","2483","144","2339","0.843137","8","5","1","434","0.666667","616","0.946237","35","9","0.75","3","0.057994","46.78"
"19","50492","33","91","10","26","2119","59","1942","0.787879","7","3","1","184","0.673993","251","0.919414","22","17","0.566667","13","0.08353","17.655"
"20","56544","39","127","6","31","2036","106","1824","0.794872","8","4","2","245","0.643045","364","0.955381","17","18","1","0","0.104126","26.057"
"21","665898","111","1027","2","89","7875","393","7482","0.801802","22","9","3","2493","0.809153","2889","0.937683","192","6","1","0","0.049905","249.4"
"22","2429028","111","1027","10","98","25908","374","24786","0.882883","13","10","1","2300","0.746511","2848","0.924375","233","17","0.566667","13","0.043307","225.327"
"23","61745","57","271","1","53","1435","135","1165","0.929825","4","6","3","637","0.783518","798","0.98155","15","3","1","0","0.188153","58.25"
"24","1261620","117","1141","5","86","16375","341","14670","0.735043","31","9","1","2587","0.75577","3155","0.921706","268","12","0.8","3","0.104122","244.5"
"25","283036","63","331","7","52","6223","156","5443","0.825397","11","6","1","748","0.753273","954","0.960725","39","11","0.52381","10","0.125341","68.038"
"26","1573320","99","817","9","84","19346","308","18730","0.848485","15","9","1","1885","0.769074","2321","0.94696","130","12","0.444444","15","0.031841","187.3"
"27","4108","15","19","8","13","342","26","316","0.866667","2","2","1","26","0.45614","55","0.964912","2","20","0.833333","4","0.076023","3.511"
"28","44252","63","331","1","37","1720","131","1196","0.587302","26","4","2","777","0.782477","943","0.949648","50","2","0.666667","1","0.304651","59.8"
"29","240651","93","721","1","81","3655","228","2971","0.870968","12","9","3","1625","0.751271","2030","0.938511","133","3","1","0","0.187141","148.55"
"30","265384","57","271","9","49","6221","161","5416","0.859649","8","5","1","601","0.739237","777","0.95572","36","14","0.518519","13","0.1294","54.16"
"31","751900","111","1027","2","103","8018","359","7300","0.927928","8","11","3","2506","0.813372","3006","0.975657","75","6","1","0","0.089549","243.333"
"32","61370","51","217","3","34","2210","81","1805","0.666667","17","4","2","533","0.81874","610","0.93702","41","7","0.777778","2","0.183258","45.125"
"33","12976","21","37","10","16","850","39","811","0.761905","5","2","1","52","0.468468","104","0.936937","7","27","0.9","3","0.045882","7.373"
"34","133050","63","331","3","50","3144","161","2661","0.793651","13","5","2","720","0.725076","911","0.917422","82","9","1","0","0.153626","66.525"
"35","7130","27","61","2","23","414","52","310","0.851852","4","3","3","120","0.655738","174","0.95082","9","6","1","0","0.251208","10.333"
"36","39028","51","217","1","44","1109","111","887","0.862745","7","5","3","495","0.760369","614","0.943164","37","3","1","0","0.20018","44.35"
"37","146520","45","169","10","40","4115","113","3663","0.888889","5","4","1","361","0.712032","479","0.944773","28","14","0.466667","16","0.109842","33.3"
"38","904211","87","631","8","77","13263","304","11743","0.885057","10","8","1","1400","0.739567","1799","0.950343","94","20","0.833333","4","0.114605","130.478"
"39","468165","75","469","7","59","8499","188","7935","0.786667","16","6","1","1018","0.723525","1308","0.929638","99","15","0.714286","6","0.066361","99.188"
"40","60288","39","127","7","32","2160","69","1884","0.820513","7","4","1","254","0.666667","349","0.91601","32","12","0.571429","9","0.127778","23.55"
"41","5978","21","37","6","14","526","33","427","0.666667","7","2","2","70","0.630631","99","0.891892","12","15","0.833333","3","0.188213","6.1"
"42","101508","63","331","2","44","2573","133","2307","0.698413","19","5","1","814","0.819738","934","0.940584","59","4","0.666667","2","0.103381","76.9"
"43","1633850","99","817","10","82","20245","320","19925","0.828283","17","9","0","0","0","2324","0.948184","127","15","0.5","15","0.015806","181.136"
"44","831908","99","817","5","77","11743","313","10804","0.777778","22","8","1","1860","0.758874","2308","0.941656","143","9","0.6","6","0.079963","180.067"
"45","784966","99","817","4","91","9658","344","8626","0.919192","8","10","1","1821","0.742962","2337","0.953488","114","9","0.75","3","0.106854","172.52"
"46","949644","99","817","6","81","13036","328","11724","0.818182","18","9","2","1790","0.730314","2253","0.919217","198","13","0.722222","5","0.100644","167.486"
"47","3302","15","19","9","13","304","25","254","0.866667","2","2","0","0","0","54","0.947368","3","23","0.851852","4","0.164474","2.54"
"48","1047600","87","631","9","75","14769","267","13968","0.862069","12","8","1","1403","0.741152","1813","0.957739","80","19","0.703704","8","0.054235","139.68"
"49","758869","87","631","6","83","10428","257","9143","0.954023","4","9","1","1425","0.752773","1850","0.977285","43","9","0.5","9","0.123226","130.614"
"50","1058785","87","631","10","65","16763","237","16289","0.747126","22","7","1","1474","0.778658","1807","0.954569","86","20","0.666667","10","0.028277","148.082"
"51","7722","33","91","2","22","581","46","351","0.666667","11","3","2","170","0.622711","241","0.882784","32","4","0.666667","2","0.395869","11.7"
"52","444802","75","469","6","58","7879","210","7669","0.773333","17","6","2","1086","0.771855","1305","0.927505","102","14","0.777778","4","0.026653","109.557"
"53","5700","21","37","5","15","454","37","380","0.714286","6","2","1","68","0.612613","99","0.891892","12","12","0.8","3","0.162996","6.333"
"54","254597","63","331","8","37","7274","131","6881","0.587302","26","4","1","795","0.800604","904","0.910373","89","10","0.416667","14","0.054028","76.456"
